CSVData,        mpi, 12, 512, max_level, 11, grids, 276617, Total, 41.7818, Computation, 39.216, Regrid, 1.96588, Compare Analytics, 0.031715, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 11, grids, 276617, Total, 41.9973, Computation, 38.8273, Regrid, 2.32346, Compare Analytics, 0.0224081, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 64, max_level, 11, grids, 276617, Total, 236.926, Computation, 226.485, Regrid, 9.44355, Compare Analytics, 0.160641, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 64, max_level, 11, grids, 276617, Total, 239.398, Computation, 229.376, Regrid, 9.08716, Compare Analytics, 0.178614, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 11, grids, 276617, Total, 18.7632, Computation, 17.0123, Regrid, 1.03779, Compare Analytics, 0.024828, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 1024, max_level, 11, grids, 276617, Total, 19.6145, Computation, 16.8879, Regrid, 1.21167, Compare Analytics, 0.0998023, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 11, grids, 276617, Total, 101.269, Computation, 95.5175, Regrid, 5.10159, Compare Analytics, 0.011009, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 128, max_level, 11, grids, 276617, Total, 102.275, Computation, 96.8239, Regrid, 4.84964, Compare Analytics, 0.0101365, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 2048, max_level, 11, grids, 276617, Total, 12.5045, Computation, 10.1517, Regrid, 0.985684, Compare Analytics, 0.162317, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 2048, max_level, 11, grids, 276617, Total, 14.3053, Computation, 11.5129, Regrid, 1.22407, Compare Analytics, 0.164286, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 256, max_level, 11, grids, 276617, Total, 54.5514, Computation, 51.2813, Regrid, 2.89542, Compare Analytics, 0.00731153, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 256, max_level, 11, grids, 276617, Total, 55.7155, Computation, 51.4067, Regrid, 3.28865, Compare Analytics, 0.00692887, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 11, grids, 276617, Total, 350.05, Computation, 334.57, Regrid, 14.2212, Compare Analytics, 0.029894, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 11, grids, 276617, Total, 350.211, Computation, 334.562, Regrid, 13.9344, Compare Analytics, 0.0281717, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 512, max_level, 11, grids, 276617, Total, 31.006, Computation, 28.7743, Regrid, 1.76583, Compare Analytics, 0.00403174, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 512, max_level, 11, grids, 276617, Total, 31.9603, Computation, 29.2256, Regrid, 2.19273, Compare Analytics, 0.0044535, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 64, max_level, 11, grids, 276617, Total, 192.265, Computation, 182.023, Regrid, 9.18804, Compare Analytics, 0.0142033, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 64, max_level, 11, grids, 276617, Total, 197.035, Computation, 186.68, Regrid, 8.81705, Compare Analytics, 0.0173139, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 1024, max_level, 12, grids, 1931881, Total, 137.374, Computation, 128.56, Regrid, 7.83443, Compare Analytics, 0.0998494, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 12, grids, 1931881, Total, 138.722, Computation, 129.046, Regrid, 8.56403, Compare Analytics, 0.123459, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 128, max_level, 12, grids, 1931881, Total, 920.639, Computation, 880.872, Regrid, 37.0514, Compare Analytics, 0.70061, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 128, max_level, 12, grids, 1931881, Total, 929.576, Computation, 896.291, Regrid, 30.2058, Compare Analytics, 0.751653, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 12, grids, 1931881, Total, 474.258, Computation, 457.05, Regrid, 15.2597, Compare Analytics, 0.350582, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 256, max_level, 12, grids, 1931881, Total, 497.661, Computation, 468.17, Regrid, 27.4993, Compare Analytics, 0.389072, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 12, grids, 1931881, Total, 261.204, Computation, 246.729, Regrid, 12.7544, Compare Analytics, 0.176148, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 12, grids, 1931881, Total, 265.674, Computation, 252.392, Regrid, 12.0189, Compare Analytics, 0.183036, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 64, max_level, 12, grids, 1931881, Total, 1793.88, Computation, 1752.64, Regrid, 35.3871, Compare Analytics, 1.39416, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 64, max_level, 12, grids, 1931881, Total, 1807.26, Computation, 1767.04, Regrid, 34.9319, Compare Analytics, 1.47205, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 12, grids, 1931881, Total, 101.032, Computation, 93.3359, Regrid, 6.51488, Compare Analytics, 0.0633414, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 12, grids, 1931881, Total, 99.9564, Computation, 92.5045, Regrid, 6.29242, Compare Analytics, 0.0709856, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 128, max_level, 12, grids, 1931881, Total, 702.795, Computation, 674.169, Regrid, 26.2076, Compare Analytics, 0.0586317, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 128, max_level, 12, grids, 1931881, Total, 705.462, Computation, 672.472, Regrid, 30.9245, Compare Analytics, 0.0574651, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 2048, max_level, 12, grids, 1931881, Total, 64.7935, Computation, 57.3664, Regrid, 5.02367, Compare Analytics, 0.261226, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 2048, max_level, 12, grids, 1931881, Total, 65.387, Computation, 58.9563, Regrid, 4.59433, Compare Analytics, 0.190906, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 12, grids, 1931881, Total, 356.062, Computation, 338.887, Regrid, 15.6909, Compare Analytics, 0.0432659, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 12, grids, 1931881, Total, 359.108, Computation, 339.842, Regrid, 17.2456, Compare Analytics, 0.0354881, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 512, max_level, 12, grids, 1931881, Total, 182.505, Computation, 171.576, Regrid, 9.10798, Compare Analytics, 0.0184506, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 512, max_level, 12, grids, 1931881, Total, 190.045, Computation, 177.518, Regrid, 9.18122, Compare Analytics, 0.0220887, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 64, max_level, 12, grids, 1931881, Total, 1428.64, Computation, 1376.08, Regrid, 49.1312, Compare Analytics, 0.121108, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 1024, max_level, 13, grids, 14512009, Total, 1045.58, Computation, 1015, Regrid, 26.5069, Compare Analytics, 0.873282, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 13, grids, 14512009, Total, 1084.84, Computation, 1054.92, Regrid, 26.0009, Compare Analytics, 0.787382, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 512, max_level, 13, grids, 14512009, Total, 2055.57, Computation, 2008.28, Regrid, 41.6083, Compare Analytics, 1.50584, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 512, max_level, 13, grids, 14512009, Total, 2090.34, Computation, 2045.56, Regrid, 38.2579, Compare Analytics, 1.67456, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 13, grids, 14512009, Total, 887.283, Computation, 849.4, Regrid, 34.734, Compare Analytics, 0.0806172, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 13, grids, 14512009, Total, 889.954, Computation, 849.714, Regrid, 37.6258, Compare Analytics, 0.135449, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 512, max_level, 13, grids, 14512009, Total, 1738.73, Computation, 1668.15, Regrid, 66.3858, Compare Analytics, 0.14321, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 512, max_level, 13, grids, 14512009, Total, 1767.72, Computation, 1698.29, Regrid, 65.356, Compare Analytics, 0.146434, Find Localities, 0, coalesce, 1
